,NOMBRE CIENTIFICO,COORDENADAS
31,Redingeria glyphica,"[(7.271025, -73.89279), (7.271025, -73.89279), (7.060267, -73.667178), (7.056291, -73.659298), (7.056291, -73.659298), (7.056291, -73.659298), (7.105147, -73.622322), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (6.954181, -73.569768), (6.954181, -73.569768), (6.954181, -73.569768), (6.990322, -73.536816), (7.02377, -73.546615), (7.02377, -73.546615), (7.029978, -73.551423), (7.029978, -73.551423), (7.029978, -73.551423), (7.049786, -73.581802), (7.049786, -73.581802), (7.049786, -73.581802), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.115273, -73.553589), (7.12188, -73.542918), (7.122339, -73.541487), (7.122339, -73.541487), (7.122339, -73.541487), (6.977576, -73.581127), (6.977576, -73.581127), (6.977576, -73.581127), (6.98115, -73.583168), (6.996799, -73.598609), (6.996799, -73.598609), (6.996799, -73.598609), (7.114298, -73.596624), (7.114298, -73.596624), (7.114298, -73.596624), (7.075965, -73.647677), (6.902255, -73.598099), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (7.038414, -73.821468), (6.941173, -73.676657), (6.837297, -73.824317), (6.837297, -73.824317), (6.837297, -73.824317), (6.833257, -73.779682), (6.792357, -73.807968), (6.868437, -73.820953), (6.868437, -73.820953), (6.868437, -73.820953), (6.838107, -73.684243), (6.874816, -73.703313), (6.890168, -73.678817), (6.993702, -73.691843), (6.993702, -73.691843), (6.993702, -73.691843), (7.003096, -73.629734), (6.756638, -73.789073), (6.756638, -73.789073), (6.756638, -73.789073), (6.758551, -73.78236), (6.994934, -73.683851), (6.799953, -73.808474), (6.889285, -73.783059), (6.889285, -73.783059), (6.889411, -73.782398), (6.889411, -73.782398), (6.888407, -73.782435), (6.978345, -73.81836), (6.904299, -73.687528), (7.060072, -73.545687), (7.060072, -73.545687), (7.060072, -73.545687), (7.120183, -73.545409), (7.120183, -73.545409), (6.73089, -73.668574), (6.73089, -73.668574), (6.744766, -73.663895), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (7.023632, -73.792948), (9.4833, -83.4833), (9.460342, -83.559215), (5.0501, -74.54996), (5.00769, -74.47397), (4.0, -72.0), (4.0, -72.0), (5.016667, -74.466667)]"
32,Thalloloma haemographum,"[(4.59805, -74.07583), (4.63333, -74.0833)]"
33,Thelotrema conveniens,"[(5.3775, -74.71812), (-33.616667, 151.283333), (18.1545, -66.6198), (6.8167, -75.5), (-22.2306, 166.856), (4.61663, -74.34997)]"
34,Thelotrema leucocarpoides,[]
35,Thelotrema sphinctrinellum,[]
36,Aspidothelium silverstonei,[]
37,Leptogium inversum,"[(3.9447, -74.1068), (3.9447, -74.1068), (3.9447, -74.1068)]"
38,Lobariella angustata,"[(4.18775, -72.6445)]"
39,Lobariella ecorticata,[]
40,Lobariella flavomedullosa,"[(4.18775, -72.6445)]"
41,Lobariella parmelioides,"[(4.18775, -72.6445)]"
42,Lobariella pseudocrenulata,[]
43,Lobariella reticulata,"[(5.491956, -73.41845), (4.18775, -72.6445)]"
44,Sticta peltigerella,"[(2.367637, -76.421224), (4.7667, -74.6833), (4.9, -74.3), (4.9, -74.3), (4.9, -74.3), (3.901155, -73.073369), (4.0, -72.0), (4.59805, -74.07583)]"
45,Sticta rubropruinosa,[]
46,Sticta silverstonii,[]
47,Sticta tunjensis,"[(5.800235, -75.692597), (5.797062, -75.70889), (4.18775, -72.6445)]"
48,Pertusaria confundens,"[(9.7167, -83.85), (9.9833, -83.85), (4.69825, -73.75088), (4.59805, -74.07583), (4.0, -72.0), (4.0, -72.0), (4.588755, -74.065804), (4.588755, -74.065804)]"
49,Pertusaria thelocarpoides,"[(-3.9667, -79.0667), (-3.9717, -79.0783), (9.5133, -83.7633), (8.555, -71.0833), (5.0167, -74.2167), (4.6333, -74.75), (4.61663, -74.34997)]"
50,Caloplaca conjungens,[]
51,Cora accipiter,[]
52,Cora arachnodavidea,[]
53,Cora arcabucana,[]
54,Cora aturucoa,[]
55,Cora barbifera,[]
56,Cora byssoidea,"[(4.715602, -73.289429), (4.74895, -73.237613)]"
57,Cora casanarensis,[]
58,Cora corelleslia,[]
59,Cora davibogotana,"[(18.046, -76.5836), (18.0476, -76.5927), (18.0458, -76.5848)]"
60,Cora davicrinita,[]
61,Cora davidia,[]
62,Cora fimbriata,[]
63,Cora gigantea,[]
64,Cora hafecesweorthensis,[]
65,Cora hirsuta,[]
66,Cora inversa,"[(4.18775, -72.6445)]"
67,Cora leslactuca,[]
68,Cora pastorum,[]
69,Cora pikynasa,[]
70,Cora putumayensis,[]
71,Cora quillacinga,[]
72,Cora rothesiorum,[]
73,Cora setosa,[]
74,Cora udebeceana,[]
75,Cora undulata,[]
76,Cora verjonensis,[]
77,Lepidostroma calocerum,"[(-15.826762, -48.457031), (4.566637, -75.75012), (19.502895, -96.952055), (19.536819, -96.922541), (8.785, -82.96), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.9, -82.8), (8.905967, -82.803812), (8.923131, -82.797399), (8.905967, -82.803812), (5.30333, -59.8564), (19.435031, -96.91909), (13.85, -89.9167), (47.7, -113.9), (47.928889, -113.845), (-23.651229, -46.62496), (-23.437605, -46.634681), (-23.651229, -46.62496), (-23.651229, -46.62496), (-0.398449, -65.026795), (-23.651229, -46.62496), (11.141773, -74.004719)]"
78,Multiclavula coronilla,"[(-34.751667, 116.933611), (50.833333, -118.833333), (-42.891337, 171.550495), (-38.740278, 177.076389), (-38.75, 177.138889), (35.586389, -83.472778), (11.141773, -74.004719), (50.833333, -118.833333)]"
79,Sulzbacheromyces chocoensis,[]
80,Sulzbacheromyces tutunendo,"[(-26.323333, -49.307222)]"
81,Anomobryum clavicaule,"[(4.816667, -75.366667)]"
82,Bryum sordidum,"[(23.950465, -102.532886), (16.26148, -61.55207), (16.26148, -61.55207), (16.26148, -61.55207)]"
83,Schizymenium pectinatum,[]
84,Dicranella muralis,[]
85,Dicranella pusilla,"[(42.15, -71.86889)]"
86,Pleuridium lindigianum,"[(6.75, -75.5), (6.71861, -75.4825), (6.758333, -75.508333), (6.718611, -75.4825), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.3, -72.38), (3.901155, -73.073369), (3.901155, -73.073369), (3.901155, -73.073369), (3.901155, -73.073369), (5.12, -74.15)]"
87,Calyptrochaeta nutans,"[(5.391417, -73.254139), (5.391417, -73.254139), (-3.975, -79.071667), (-15.130861, -68.880944), (-15.130861, -68.880944), (-10.54777, -75.35888), (-10.54777, -75.35888), (-3.97, -79.07), (-3.966667, -79.066667), (1.96666, -77.56666), (1.96666, -77.56666), (3.901155, -73.073369), (4.583333, -74.3), (4.583333, -74.3), (-0.233333, -78.516667), (-1.427421, -78.767071), (-1.427421, -78.767071), (-1.56427, -78.463), (-27.02861, -51.16278), (-27.02861, -51.16278)]"
88,Leskeodon paisa,"[(5.69667, -75.2372), (5.696667, -75.237222), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (9.61666, -83.8)]"
89,Lepidopilum wallisii,[]
90,Eurhynchium semitortum,[]
91,Trichosteleum mastopomatoides,"[(5.83333, -75.25), (5.833333, -75.25), (5.833333, -75.25), (5.83, -75.25), (5.83, -75.25)]"
92,Cyrto-hypnum arzobispoae,[]
93,Macromitrium tocaremae,"[(-10.0, -75.866667), (-14.816667, -68.15), (3.901155, -73.073369), (3.901155, -73.073369), (3.901155, -73.073369), (3.901155, -73.073369), (-20.53194, -49.31222)]"
94,Didymodon lindigii,"[(4.59806, -74.07583), (4.59806, -74.07583)]"
95,Tayloria altorum,"[(4.71944, -73.8278), (4.719444, -73.827778), (-16.714611, -64.670931), (-17.516667, -65.266667), (-17.516667, -65.266667), (-17.516667, -65.266667)]"
