latitude,longitude,elevation,speed,time,distance,elevation_diff,cum_distance,cum_elevation
4.696496268734336,-73.98537419736385,2826.8,11.243766901447756,2024-05-04 06:56:14+00:00,101.04,-3.0,25623.199999999983,138.20000000000027
4.696741439402103,-73.98493272252381,2824.0,11.228039938018789,2024-05-04 06:56:19+00:00,56.01,-2.800000000000182,25679.20999999998,135.4000000000001
4.696980239823461,-73.98431648500264,2820.2,12.242237737202432,2024-05-04 06:56:25+00:00,73.27,-3.800000000000182,25752.47999999998,131.5999999999999
4.697461612522602,-73.98396419361234,2816.8,13.28260125179266,2024-05-04 06:56:30+00:00,66.25,-3.399999999999636,25818.72999999998,128.20000000000027
4.698719484731555,-73.98322591558099,2812.6,10.8184702406479,2024-05-04 06:56:45+00:00,162.04,-4.200000000000273,25980.769999999982,124.0
4.699971908703446,-73.98243458010256,2802.6,13.755213320029624,2024-05-04 06:56:57+00:00,164.58,-10.0,26145.349999999984,114.0
4.700185563415289,-73.9822531118989,2800.8,15.606519344180532,2024-05-04 06:56:59+00:00,31.13,-1.7999999999997272,26176.479999999985,112.20000000000027
4.700500639155507,-73.98195203393698,2797.8,16.175972987997714,2024-05-04 06:57:02+00:00,48.38,-3.0,26224.859999999986,109.20000000000027
4.700712198391557,-73.98174927569926,2795.8,16.314563804725722,2024-05-04 06:57:04+00:00,32.53,-2.0,26257.389999999985,107.20000000000027
4.701032303273678,-73.98144752718508,2793.2,16.320668638510757,2024-05-04 06:57:07+00:00,48.84,-2.600000000000364,26306.229999999985,104.59999999999991
4.701465480029583,-73.98104662075639,2789.8,16.42248195722974,2024-05-04 06:57:11+00:00,65.53,-3.399999999999636,26371.759999999984,101.20000000000027
4.70300548709929,-73.97961256094277,2784.8,14.621184780612452,2024-05-04 06:57:27+00:00,233.62,-5.0,26605.379999999983,96.20000000000027
4.704024726524949,-73.97866875864565,2783.6,9.649928734225671,2024-05-04 06:57:43+00:00,154.22,-1.2000000000002728,26759.599999999984,95.0
4.704807512462139,-73.9779841247946,2788.0,7.230032175542405,2024-05-04 06:57:59+00:00,115.47,4.400000000000091,26875.069999999985,99.40000000000009
4.7055380791425705,-73.97737769410014,2789.4,6.59738639050095,2024-05-04 06:58:15+00:00,105.43,1.400000000000091,26980.499999999985,100.80000000000018
4.705987181514502,-73.97689405828714,2788.8,7.334013161506095,2024-05-04 06:58:25+00:00,73.26,-0.599999999999909,27053.759999999984,100.20000000000027
4.706125818192959,-73.97632819600403,2786.4,8.086597638716375,2024-05-04 06:58:33+00:00,64.58,-2.400000000000091,27118.339999999986,97.80000000000018
4.706219024956226,-73.97595821879804,2783.4,4.71600489642451,2024-05-04 06:58:42+00:00,42.29,-3.0,27160.629999999986,94.80000000000018
4.706493197008967,-73.97556963376701,2779.0,4.417021041702133,2024-05-04 06:58:54+00:00,52.76,-4.400000000000091,27213.389999999985,90.40000000000009
4.7067956160753965,-73.97534080781043,2776.8,8.444348169155205,2024-05-04 06:58:59+00:00,42.12,-2.199999999999818,27255.509999999984,88.20000000000027
4.707398610189557,-73.97512187249959,2771.4,8.948557733499504,2024-05-04 06:59:07+00:00,71.3,-5.400000000000091,27326.809999999983,82.80000000000018
4.707515705376864,-73.97498918697238,2769.8,9.86367600589066,2024-05-04 06:59:09+00:00,19.64,-1.599999999999909,27346.449999999983,81.20000000000027
4.7075673379004,-73.97453530691564,2766.4,10.159227233748904,2024-05-04 06:59:14+00:00,50.63,-3.400000000000091,27397.079999999984,77.80000000000018
4.707599021494389,-73.97405946627259,2763.4,10.598862831964896,2024-05-04 06:59:19+00:00,52.85,-3.0,27449.929999999982,74.80000000000018
4.708186676725745,-73.97356250323355,2756.4,10.729861172043307,2024-05-04 06:59:27+00:00,85.46,-7.0,27535.38999999998,67.80000000000018
4.708557827398181,-73.97307258099318,2751.4,11.409519049601286,2024-05-04 06:59:33+00:00,68.2,-5.0,27603.589999999982,62.80000000000018
4.7088780999183655,-73.97261601872742,2747.2,12.416835579322065,2024-05-04 06:59:38+00:00,61.87,-4.200000000000273,27665.45999999998,58.59999999999991
4.709953414276242,-73.97171890363097,2740.8,12.983945477010936,2024-05-04 06:59:50+00:00,155.5,-6.399999999999636,27820.95999999998,52.20000000000027
4.71013655886054,-73.97162737324834,2739.6,11.40406425422307,2024-05-04 06:59:52+00:00,22.75,-1.2000000000002728,27843.70999999998,51.0
4.710347196087241,-73.97162586450577,2738.8,11.731134570855016,2024-05-04 06:59:54+00:00,23.42,-0.7999999999997272,27867.12999999998,50.20000000000027
4.710913980379701,-73.97190380841494,2737.4,11.70670785847694,2024-05-04 07:00:00+00:00,70.15,-1.400000000000091,27937.27999999998,48.80000000000018
4.71158042550087,-73.9720234181732,2737.6,9.4207540841084,2024-05-04 07:00:08+00:00,75.28,0.1999999999998181,28012.55999999998,49.0
4.712461614981294,-73.97197362966835,2735.8,9.826544944639924,2024-05-04 07:00:18+00:00,98.14,-1.7999999999997272,28110.69999999998,47.20000000000027
4.713044576346874,-73.97164346650243,2731.8,12.437692804616198,2024-05-04 07:00:24+00:00,74.44,-4.0,28185.139999999978,43.20000000000027
4.714196166023612,-73.97051760926843,2725.4,11.939892886670249,2024-05-04 07:00:39+00:00,178.78,-6.400000000000091,28363.919999999976,36.80000000000018
