latitude,longitude,elevation,speed,time
4.797345986589789,-74.03919766657054,2566.6,4.355301503478256,2024-05-04 10:56:25+00:00
4.796766126528382,-74.03929372318089,2566.4,4.088974967005853,2024-05-04 10:56:41+00:00
4.796114936470985,-74.03940679505467,2566.4,4.597956752409759,2024-05-04 10:56:57+00:00
4.795455113053322,-74.03952246531844,2566.6,4.3861063930075055,2024-05-04 10:57:14+00:00
4.794815070927143,-74.03963210061193,2566.6,4.517480598247922,2024-05-04 10:57:30+00:00
4.794151559472084,-74.03974852524698,2566.8,4.686414919735512,2024-05-04 10:57:46+00:00
4.793487126007676,-74.03986067511141,2567.0,4.687727166754652,2024-05-04 10:58:02+00:00
4.792817328125238,-74.03996192850173,2567.4,4.7127425992249385,2024-05-04 10:58:18+00:00
4.792138561606407,-74.04004440642893,2567.6,4.757007502996349,2024-05-04 10:58:34+00:00
4.791528778150678,-74.04022260569036,2568.0,4.71344354221074,2024-05-04 10:58:49+00:00
4.791035586968064,-74.04019201174378,2568.0,4.231275904549251,2024-05-04 10:59:02+00:00
4.790398478507996,-74.04030508361757,2568.0,4.501451118614857,2024-05-04 10:59:18+00:00
4.7897738590836525,-74.04040801338851,2568.0,4.144916197522652,2024-05-04 10:59:35+00:00
4.789134738966823,-74.0405158046633,2567.8,4.50903910665219,2024-05-04 10:59:51+00:00
4.788467204198241,-74.04062460176647,2567.6,4.705225291173038,2024-05-04 11:00:07+00:00
4.78779723867774,-74.04074345715344,2567.8,4.733559971163871,2024-05-04 11:00:23+00:00
4.787125010043383,-74.04085451737046,2567.8,4.739970472514837,2024-05-04 11:00:39+00:00
4.7865015640854836,-74.04095677658916,2567.4,4.395236522804139,2024-05-04 11:00:55+00:00
4.785861521959305,-74.04106800444424,2567.4,4.5193532651833666,2024-05-04 11:01:11+00:00
4.785324828699231,-74.04119197279215,2567.6,3.8316899194498126,2024-05-04 11:01:27+00:00
4.785022996366024,-74.041210077703,2567.8,2.589260597925141,2024-05-04 11:01:40+00:00
4.784621503204107,-74.04126330278814,2568.0,3.0055180199759706,2024-05-04 11:01:55+00:00
4.784353785216808,-74.04137620702386,2568.0,2.9388249724586086,2024-05-04 11:02:06+00:00
4.7839458379894495,-74.04143027029932,2568.8,3.524135793658874,2024-05-04 11:02:19+00:00
4.7837273217737675,-74.04150227084756,2569.0,3.2004531970267642,2024-05-04 11:02:27+00:00
4.783014189451933,-74.04161852784455,2568.8,5.026657153663084,2024-05-04 11:02:43+00:00
4.78238663636148,-74.04173101298511,2569.4,4.435444028162914,2024-05-04 11:02:59+00:00
4.781759586185217,-74.041828494519,2569.4,4.41472347754696,2024-05-04 11:03:15+00:00
4.7811120841652155,-74.04189730994403,2569.6,4.530186767216059,2024-05-04 11:03:31+00:00
4.7804355807602406,-74.04195313341916,2569.4,4.722653868104849,2024-05-04 11:03:47+00:00
4.779822612181306,-74.04203535988927,2569.0,4.302718137505163,2024-05-04 11:04:03+00:00
4.7794331051409245,-74.04210677370429,2569.2,3.1484249093087695,2024-05-04 11:04:17+00:00
4.779278039932251,-74.04217198491096,2569.0,3.1195635389380576,2024-05-04 11:04:23+00:00
4.778810581192374,-74.04220266267657,2568.6,4.345830427480265,2024-05-04 11:04:35+00:00
4.778222758322954,-74.04230752028525,2568.8,4.1538927301789,2024-05-04 11:04:51+00:00
4.77776762098074,-74.0424289740622,2568.6,4.032835464559695,2024-05-04 11:05:04+00:00
4.777231179177761,-74.0425465721637,2569.4,3.8206247684025594,2024-05-04 11:05:20+00:00
4.776846030727029,-74.04257280752063,2569.8,3.9068233193388693,2024-05-04 11:05:31+00:00
4.776225183159113,-74.04270800761878,2570.0,4.420085987974778,2024-05-04 11:05:47+00:00
4.775645323097706,-74.04283197596669,2570.0,4.124900469151242,2024-05-04 11:06:03+00:00
4.7751338593661785,-74.0429250150919,2570.2,3.61650955269689,2024-05-04 11:06:19+00:00
4.7743286937475204,-74.04304797761142,2570.6,5.666470753127368,2024-05-04 11:06:35+00:00
4.773623272776604,-74.04317261651158,2571.0,4.690357157997059,2024-05-04 11:06:52+00:00
4.772921288385987,-74.04328585602343,2571.8,4.946990500254421,2024-05-04 11:07:08+00:00
4.772373614832759,-74.04336858540773,2572.2,3.853432609600332,2024-05-04 11:07:24+00:00
4.771983688697219,-74.04344326816499,2572.0,3.682533953158783,2024-05-04 11:07:36+00:00
4.771624775603414,-74.0435035340488,2572.4,3.682861879857374,2024-05-04 11:07:47+00:00
4.771058578044176,-74.04360403306782,2573.0,4.000628340919062,2024-05-04 11:08:03+00:00
4.770428594201803,-74.04370746575296,2573.2,4.44138959529504,2024-05-04 11:08:19+00:00
4.769732393324375,-74.04383026063442,2573.6,4.9181126527360375,2024-05-04 11:08:35+00:00
4.769173488020897,-74.04391667805612,2573.4,3.9344757149690497,2024-05-04 11:08:51+00:00
4.76896695792675,-74.04391877353191,2573.4,1.91600000679599,2024-05-04 11:09:03+00:00
4.768484076485038,-74.04396587982774,2573.4,4.5006272201685205,2024-05-04 11:09:15+00:00
4.767649071291089,-74.0441164188087,2573.0,5.902590766129754,2024-05-04 11:09:31+00:00
4.766826219856739,-74.04424860142171,2573.0,5.797855174633782,2024-05-04 11:09:47+00:00
4.765918040648103,-74.04440903104842,2573.6,6.4158967960273,2024-05-04 11:10:03+00:00
4.765001479536295,-74.04455420561135,2573.4,6.4559071170395885,2024-05-04 11:10:19+00:00
4.764078799635172,-74.04471128247678,2573.6,6.51125496953748,2024-05-04 11:10:35+00:00
4.763223258778453,-74.04484078288078,2573.4,6.019750481789294,2024-05-04 11:10:51+00:00
4.762346092611551,-74.04499685391784,2572.8,6.1981623840898665,2024-05-04 11:11:07+00:00
4.7614348120987415,-74.0451473928988,2571.8,6.0478577564122,2024-05-04 11:11:24+00:00
4.760573068633676,-74.04534671455622,2572.8,6.153085013658816,2024-05-04 11:11:40+00:00
4.759744433686137,-74.04551401734352,2573.2,5.880794735073284,2024-05-04 11:11:56+00:00
4.758993331342936,-74.04565676115453,2573.6,5.318724760880221,2024-05-04 11:12:12+00:00
4.758221190422773,-74.04580419883132,2573.6,5.4685429563134385,2024-05-04 11:12:28+00:00
4.757468579337001,-74.04593646526337,2573.0,5.316100165458021,2024-05-04 11:12:44+00:00
4.756684368476272,-74.04609278775752,2572.4,5.562861980267601,2024-05-04 11:13:00+00:00
4.755916837602854,-74.04624558985233,2572.8,5.444211199940793,2024-05-04 11:13:16+00:00
4.755457509309053,-74.0463321749121,2572.8,4.729689263092401,2024-05-04 11:13:27+00:00
4.755032295361161,-74.04640669003129,2573.2,3.203510803657625,2024-05-04 11:13:42+00:00
4.754822412505746,-74.04645505361259,2573.2,1.49826096316043,2024-05-04 11:13:58+00:00
4.754417734220624,-74.04651590622962,2573.0,3.5040024115021557,2024-05-04 11:14:11+00:00
4.753471836447716,-74.04668706469238,2574.2,6.687617586805344,2024-05-04 11:14:27+00:00
4.752701707184315,-74.04667239636183,2574.0,6.595851758271277,2024-05-04 11:14:40+00:00
4.7520900797098875,-74.046651693061,2573.8,4.257817502752708,2024-05-04 11:14:56+00:00
4.751653214916587,-74.04675546102226,2574.0,3.123492376050751,2024-05-04 11:15:12+00:00
4.750904962420464,-74.04693785123527,2573.6,5.357398224122702,2024-05-04 11:15:28+00:00
4.749796874821186,-74.04718025587499,2573.6,9.017787587364397,2024-05-04 11:15:42+00:00
4.749167058616877,-74.0472405217588,2574.6,4.402248185575396,2024-05-04 11:15:58+00:00
4.748315121978521,-74.04732475988567,2574.2,5.605724210359248,2024-05-04 11:16:15+00:00
4.747336115688086,-74.04745769686997,2574.8,6.8735896981190665,2024-05-04 11:16:31+00:00
4.746361132711172,-74.04763262718916,2574.0,6.89117661449234,2024-05-04 11:16:47+00:00
4.745334098115563,-74.04780437238514,2574.0,7.244106396093342,2024-05-04 11:17:03+00:00
4.744452238082886,-74.04792875982821,2574.8,6.196035188221656,2024-05-04 11:17:19+00:00
4.743690239265561,-74.04805390164256,2574.2,5.372249585571989,2024-05-04 11:17:35+00:00
4.7428360395133495,-74.04820770956576,2573.6,6.038110066284825,2024-05-04 11:17:51+00:00
4.742263471707702,-74.04830946587026,2574.0,4.045696719629736,2024-05-04 11:18:07+00:00
4.741724096238613,-74.04839747585356,2573.8,3.801999832658317,2024-05-04 11:18:23+00:00
4.7409506142139435,-74.04852932319045,2573.8,5.137480924039456,2024-05-04 11:18:40+00:00
4.740211665630341,-74.04864197596908,2574.0,5.200223304207784,2024-05-04 11:18:56+00:00
4.739693077281117,-74.04873878695071,2574.4,3.670057296404662,2024-05-04 11:19:12+00:00
4.739439440891147,-74.04878916218877,2574.6,1.7989460188953723,2024-05-04 11:19:28+00:00
4.7386890929192305,-74.0489118732512,2574.0,5.289535551217471,2024-05-04 11:19:44+00:00
4.738132869824767,-74.04901061207056,2574.2,3.930016246815214,2024-05-04 11:20:00+00:00
4.737379672005773,-74.04913072474301,2573.4,5.306351324277529,2024-05-04 11:20:16+00:00
4.736888576298952,-74.04921328648925,2574.0,4.264134883692524,2024-05-04 11:20:29+00:00
4.736454477533698,-74.04926341027021,2574.2,3.741765604989031,2024-05-04 11:20:42+00:00
4.735868163406849,-74.0493915695697,2574.2,4.1749279031661075,2024-05-04 11:20:58+00:00
4.735418893396854,-74.0494354069233,2574.2,3.8652622734571014,2024-05-04 11:21:11+00:00
4.734665360301733,-74.04957429505885,2573.6,5.685895574316976,2024-05-04 11:21:26+00:00
4.734056498855352,-74.04967269860208,2574.4,4.2910221391071515,2024-05-04 11:21:42+00:00
4.733369601890445,-74.04979348182678,2573.8,4.852033450557298,2024-05-04 11:21:58+00:00
4.73301119171083,-74.04984469525516,2573.4,2.518908345705204,2024-05-04 11:22:14+00:00
4.7324993927031755,-74.04991267248988,2573.4,4.420781131819625,2024-05-04 11:22:27+00:00
4.732023635879159,-74.05001065693796,2573.2,3.6043639554519555,2024-05-04 11:22:42+00:00
4.731594901531935,-74.05013697221875,2573.4,3.8262825594429772,2024-05-04 11:22:55+00:00
4.730767859145999,-74.05029270797968,2572.8,5.854687002047392,2024-05-04 11:23:11+00:00
4.730010721832514,-74.05041642487049,2573.0,5.02321164143196,2024-05-04 11:23:28+00:00
4.729262217879295,-74.05053997412324,2573.0,5.277682515051702,2024-05-04 11:23:44+00:00
4.728423859924078,-74.05069361440837,2572.2,5.929545434175964,2024-05-04 11:24:00+00:00
4.7276414930820465,-74.05081716366112,2571.8,5.510347800724877,2024-05-04 11:24:16+00:00
4.72716573625803,-74.05087256804109,2572.6,3.332656300249298,2024-05-04 11:24:32+00:00
4.726716382429004,-74.05095127411187,2572.0,3.173860152607419,2024-05-04 11:24:48+00:00
4.72618605941534,-74.05103836208582,2572.6,4.273119720905147,2024-05-04 11:25:02+00:00
4.725542915984988,-74.0511535294354,2572.2,4.545415094635978,2024-05-04 11:25:18+00:00
4.724884098395705,-74.05125947669148,2572.6,4.6422644134261,2024-05-04 11:25:34+00:00
4.72435268573463,-74.05135880224407,2572.4,3.5396746980894385,2024-05-04 11:25:51+00:00
4.72373703494668,-74.05145787633955,2572.8,4.338180379934528,2024-05-04 11:26:07+00:00
4.7233513835817575,-74.05153792351484,2572.8,2.7399626076424446,2024-05-04 11:26:23+00:00
4.722833884879947,-74.05160925351083,2572.6,3.8766016030337265,2024-05-04 11:26:38+00:00
4.722301382571459,-74.05168242752552,2572.4,3.7394697816799334,2024-05-04 11:26:54+00:00
4.721879940479994,-74.05175736173987,2572.0,3.970605774301776,2024-05-04 11:27:06+00:00
4.72139747813344,-74.05184998176992,2572.2,3.9058537857005775,2024-05-04 11:27:20+00:00
4.720893893390894,-74.0519183780998,2572.4,3.5356480868965763,2024-05-04 11:27:36+00:00
4.720357870683074,-74.0519860200584,2572.2,3.7587590329644542,2024-05-04 11:27:52+00:00
4.720027036964893,-74.05205508694053,2572.2,2.507794035809669,2024-05-04 11:28:07+00:00
4.719705590978265,-74.05208668671548,2572.0,3.268643778047741,2024-05-04 11:28:18+00:00
4.7193976398557425,-74.05209213495255,2572.4,3.809847072483325,2024-05-04 11:28:27+00:00
4.719006037339568,-74.05223437584937,2572.0,3.566389342651749,2024-05-04 11:28:40+00:00
4.718453586101532,-74.05232297256589,2571.6,3.8925249722225206,2024-05-04 11:28:56+00:00
4.718098361045122,-74.05241869390011,2572.0,2.7297707704657244,2024-05-04 11:29:11+00:00
4.717598212882876,-74.0524741820991,2571.6,3.5010599927368466,2024-05-04 11:29:27+00:00
4.717046516016126,-74.0525590069592,2571.8,3.8832350499766144,2024-05-04 11:29:43+00:00
4.716465063393116,-74.05266218818724,2571.8,4.108215813677209,2024-05-04 11:29:59+00:00
4.716069186106324,-74.05272019095719,2571.8,2.783512555799058,2024-05-04 11:30:15+00:00
4.715648079290986,-74.05279613099992,2572.0,2.976805358176002,2024-05-04 11:30:31+00:00
4.7152703907340765,-74.0528304129839,2571.8,2.483308663618287,2024-05-04 11:30:48+00:00
4.7146224696189165,-74.05291800387204,2571.0,4.548895439518109,2024-05-04 11:31:04+00:00
4.713815040886402,-74.05304188840091,2571.0,5.682956462669406,2024-05-04 11:31:20+00:00
4.713096376508474,-74.05298480764031,2568.8,6.6901459985358,2024-05-04 11:31:32+00:00
4.711874378845096,-74.0531893260777,2570.2,8.619912791882543,2024-05-04 11:31:48+00:00
4.710516510531306,-74.05340348370373,2570.0,9.563327320731142,2024-05-04 11:32:04+00:00
4.709124192595482,-74.05363230966032,2568.2,9.81673635889086,2024-05-04 11:32:20+00:00
4.707772694528103,-74.05385652557015,2568.6,9.530700596421408,2024-05-04 11:32:36+00:00
4.706439804285765,-74.05407395213842,2568.6,8.842629299086065,2024-05-04 11:32:53+00:00
4.705168101936579,-74.05432532541454,2569.2,9.017961138613867,2024-05-04 11:33:09+00:00
4.704031515866518,-74.05451090075076,2569.0,8.011782797624937,2024-05-04 11:33:25+00:00
4.702840698882937,-74.05468189157546,2569.0,8.369479719874674,2024-05-04 11:33:41+00:00
4.701324999332428,-74.05493787489831,2567.4,10.694239619508142,2024-05-04 11:33:57+00:00
4.700034772977233,-74.05518581159413,2568.4,9.140070776464098,2024-05-04 11:34:13+00:00
4.69886876642704,-74.05537272803485,2566.0,8.764486674706857,2024-05-04 11:34:28+00:00
4.697739640250802,-74.05554933473468,2566.8,7.95089249749421,2024-05-04 11:34:44+00:00
4.696854259818792,-74.0556918270886,2567.0,6.238756980374003,2024-05-04 11:35:00+00:00
4.695885814726353,-74.05585871078074,2567.0,6.434421995834864,2024-05-04 11:35:17+00:00
4.694732381030917,-74.05605568550527,2567.6,8.140468105056387,2024-05-04 11:35:33+00:00
4.69345330260694,-74.05627386644483,2569.8,9.027878363258429,2024-05-04 11:35:49+00:00
4.692598097026348,-74.0564062166959,2570.2,6.020477155392415,2024-05-04 11:36:05+00:00
4.691482717171311,-74.05658760108054,2569.4,7.861643709568541,2024-05-04 11:36:21+00:00
4.690091405063868,-74.05682489275932,2568.4,9.81905825572989,2024-05-04 11:36:37+00:00
4.688886171206832,-74.05702262185514,2570.0,8.497318478274765,2024-05-04 11:36:53+00:00
4.687706418335438,-74.05720735900104,2570.2,8.307461561638213,2024-05-04 11:37:09+00:00
4.686625404283404,-74.05739888548851,2570.4,8.146653842760752,2024-05-04 11:37:24+00:00
4.6855424623936415,-74.05758747830987,2570.6,7.197357317599412,2024-05-04 11:37:41+00:00
4.684355920180678,-74.05782116577029,2570.8,8.412874501401124,2024-05-04 11:37:57+00:00
4.683186812326312,-74.05799525789917,2570.4,8.223162642815893,2024-05-04 11:38:13+00:00
4.682007813826203,-74.05818343162537,2569.6,8.306128842059325,2024-05-04 11:38:29+00:00
4.680835269391537,-74.05838275328279,2569.2,8.274234407326622,2024-05-04 11:38:45+00:00
4.679684434086084,-74.05855491757393,2571.6,8.096801130384897,2024-05-04 11:39:01+00:00
4.67899133451283,-74.05868466943502,2575.4,4.911183113441185,2024-05-04 11:39:17+00:00
4.678013166412711,-74.05882062390447,2572.8,6.872482045232298,2024-05-04 11:39:33+00:00
4.676804915070534,-74.05902019701898,2568.6,8.523564261054897,2024-05-04 11:39:49+00:00
4.67568576335907,-74.05922588892281,2567.4,8.444136877030775,2024-05-04 11:40:04+00:00
4.674834581092,-74.05938900075853,2568.4,6.890791796725931,2024-05-04 11:40:18+00:00
4.674018602818251,-74.05952420085669,2568.4,5.754033284037357,2024-05-04 11:40:34+00:00
4.673267500475049,-74.05964800156653,2568.8,5.295874326834286,2024-05-04 11:40:50+00:00
4.672608599066734,-74.05976350419223,2569.4,4.653877674895996,2024-05-04 11:41:06+00:00
4.671913739293814,-74.05988118611276,2569.8,4.902918365161712,2024-05-04 11:41:22+00:00
4.671047804877162,-74.06002501957119,2570.4,6.106827606435317,2024-05-04 11:41:38+00:00
4.670146415010095,-74.06017497181892,2571.2,6.357207201671949,2024-05-04 11:41:54+00:00
4.669733522459865,-74.06023280695081,2572.0,3.094376050763401,2024-05-04 11:42:09+00:00
4.669577870517969,-74.06024227850139,2572.0,1.735893264800542,2024-05-04 11:42:19+00:00
4.6692040376365185,-74.06025258824229,2572.4,3.4693771127915234,2024-05-04 11:42:31+00:00
4.668909162282944,-74.06032802537084,2572.8,2.4198562351089414,2024-05-04 11:42:45+00:00
4.668257804587483,-74.06049532815814,2573.0,4.677959148897151,2024-05-04 11:43:01+00:00
4.667708789929748,-74.06062046997249,2573.4,3.9171643993449257,2024-05-04 11:43:17+00:00
4.667285084724426,-74.06079322099686,2573.2,4.628423153543857,2024-05-04 11:43:28+00:00
4.666735902428627,-74.06091509386897,2574.2,4.472872403400897,2024-05-04 11:43:42+00:00
4.666650239378214,-74.0609688218683,2575.0,0.25623418312449436,2024-05-04 11:44:26+00:00
4.666293086484075,-74.06101366505027,2575.8,3.6432878825077855,2024-05-04 11:44:37+00:00
4.6661049127578735,-74.06105238944292,2577.2,1.0204413647604407,2024-05-04 11:44:58+00:00
4.665497979149222,-74.06111089512706,2576.4,2.5140505598839873,2024-05-04 11:45:25+00:00
4.665149878710508,-74.06132119707763,2577.4,4.113097848409819,2024-05-04 11:45:36+00:00
4.664818374440074,-74.06155857257545,2577.4,2.8335738315617007,2024-05-04 11:45:52+00:00
4.664661968126893,-74.06164859421551,2577.8,1.2547798463138957,2024-05-04 11:46:08+00:00
4.664564235135913,-74.0617045853287,2578.0,1.139078787987794,2024-05-04 11:46:19+00:00
4.664200460538268,-74.06194665469229,2578.0,1.8689311625437681,2024-05-04 11:46:45+00:00
4.663619427010417,-74.06231445260346,2578.2,4.779857802261569,2024-05-04 11:47:01+00:00
4.66305666603148,-74.06266305595636,2577.8,4.330903867534864,2024-05-04 11:47:18+00:00
4.662535982206464,-74.06297821551561,2578.6,4.231104866488712,2024-05-04 11:47:34+00:00
4.6622509136796,-74.06314929015934,2578.6,2.3110656955023554,2024-05-04 11:47:50+00:00
4.662108924239874,-74.06322858296335,2579.2,0.30677216877559266,2024-05-04 11:48:49+00:00
4.661766104400158,-74.06342673115432,2579.0,2.752661691842434,2024-05-04 11:49:05+00:00
4.661315996199846,-74.06369738280773,2579.4,3.6510394349816235,2024-05-04 11:49:21+00:00
4.6610084641724825,-74.06387021765113,2579.8,0.5302873505428163,2024-05-04 11:50:35+00:00
4.6604483015835285,-74.06422141939402,2579.0,4.595944502623906,2024-05-04 11:50:51+00:00
4.659892497584224,-74.06458578072488,2579.4,4.927284284018215,2024-05-04 11:51:06+00:00
4.659191770479083,-74.06503387726843,2579.6,5.781347863671796,2024-05-04 11:51:22+00:00
4.658481488004327,-74.06547627411783,2580.2,5.816685837178395,2024-05-04 11:51:38+00:00
4.65791143476963,-74.06586058437824,2580.4,4.4972601738566045,2024-05-04 11:51:55+00:00
4.6572693809866905,-74.06627029180527,2580.2,5.294033581594876,2024-05-04 11:52:11+00:00
4.656928908079863,-74.0664847008884,2580.6,2.7968930164778336,2024-05-04 11:52:27+00:00
4.656547028571367,-74.06674789264798,2580.4,1.393905957292871,2024-05-04 11:53:04+00:00
4.655956691130996,-74.06712558120489,2580.4,5.567150280087081,2024-05-04 11:53:18+00:00
4.655299633741379,-74.06754786148667,2580.4,5.428922867229376,2024-05-04 11:53:34+00:00
4.654934098944068,-74.0678021684289,2580.0,3.0948980548964085,2024-05-04 11:53:50+00:00
4.654289530590177,-74.0682133845985,2579.0,5.314769865411102,2024-05-04 11:54:06+00:00
4.653962720185518,-74.06849015504122,2579.0,4.328012371513176,2024-05-04 11:54:17+00:00
4.653982920572162,-74.06891201622784,2578.6,4.6862227318268035,2024-05-04 11:54:27+00:00
4.6535886358469725,-74.06895685940981,2577.6,4.909332990543901,2024-05-04 11:54:36+00:00
4.6527401357889175,-74.06911913305521,2577.8,6.410366366494158,2024-05-04 11:54:51+00:00
4.652101183310151,-74.06923321075737,2578.6,4.515606063991021,2024-05-04 11:55:07+00:00
4.65135058388114,-74.06937478110194,2579.8,5.314276478866389,2024-05-04 11:55:23+00:00
4.650552039965987,-74.06950520351529,2580.0,5.628990781086575,2024-05-04 11:55:39+00:00
4.650245681405067,-74.069419875741,2579.8,5.898992704819165,2024-05-04 11:55:45+00:00
4.649605387821794,-74.06938995234668,2580.6,5.946576948606077,2024-05-04 11:55:57+00:00
4.649245133623481,-74.06925450079143,2581.6,2.0399302665681582,2024-05-04 11:56:18+00:00
4.648663429543376,-74.06921586021781,2581.8,4.635505836678897,2024-05-04 11:56:32+00:00
4.648577012121677,-74.06898317858577,2582.0,3.9359419394448345,2024-05-04 11:56:39+00:00
4.648498306050897,-74.06859417445958,2583.2,4.405793915431272,2024-05-04 11:56:49+00:00
4.648166634142399,-74.06866181641817,2583.6,4.186526421660749,2024-05-04 11:56:58+00:00
4.647573195397854,-74.06876742839813,2583.6,4.1932828951728975,2024-05-04 11:57:14+00:00
4.646852603182197,-74.06890757381916,2583.0,5.106961847756026,2024-05-04 11:57:30+00:00
4.646278778091073,-74.06901779584587,2582.4,5.420069368660729,2024-05-04 11:57:42+00:00
