,scientific_name,locations
22,Cyathea callejasii,[]
23,Cyathea clandestina,[]
24,Cyathea coloradoana,[]
25,Cyathea eggersii,"[(-0.75216, -80.13464), (-21.923056, -46.3875)]"
26,Cyathea haughtii,"[(-4.16932, -78.90216), (6.98083, -74.0119), (6.955008, -73.924483)]"
27,Cyathea obnoxia,"[(-1.373056, -78.155), (-1.373056, -78.155), (-10.316111, -75.604444), (-10.316111, -75.604444), (-10.316111, -75.604444), (-15.30972, -68.76666), (-15.30972, -68.76666), (-15.30972, -68.76666), (-15.30972, -68.76666), (-15.30972, -68.76666), (-3.976389, -79.070556), (-3.976389, -79.070556), (-3.976389, -79.070556), (-3.976389, -79.070556), (-3.976389, -79.070556), (-3.976389, -79.070556), (-6.23638, -77.59694), (-5.7025, -77.885), (-5.88333, -77.91666), (-3.98333, -79.1), (-5.25, -79.31666), (-4.966667, -78.883611), (-3.98333, -79.1), (-3.98333, -79.1), (0.11666, -78.61666), (-5.61277, -78.27138), (-5.63, -78.23), (-5.611111, -78.435)]"
28,Cyathea pacis,"[(5.747516, -75.735099)]"
29,Cyathea prosopioides,[]
30,Cyathea renjifoi,"[(35.460668, 134.879859), (46.910738, 16.287733), (37.19295, -93.228363), (48.79914, 12.898435), (37.849267, -121.943713), (34.767902, -83.918955), (37.455713, -122.109878), (37.999096, 139.259288), (38.919747, -79.955024), (40.439631, 19.50855), (40.907578, -73.894181), (51.465305, -2.602997), (-35.341822, 149.066467), (53.679396, -2.977886), (42.024922, 19.150489), (-35.339292, 149.063995), (46.709822, 6.196014), (-33.233207, 26.574737), (47.197595, 16.703499), (41.518855, -73.549422), (28.799455, -82.385435), (42.750827, -73.341395), (33.123727, -98.35977), (49.21216, -123.03962), (32.919158, -117.260971), (43.12757, -77.483174), (49.144911, 1.118295), (51.434486, -2.620248), (53.339558, 15.050272), (40.505493, -86.845033), (34.843483, 36.024696), (40.60239, -74.532656), (32.613381, -96.995651), (39.571814, -80.080457), (24.885506, 121.666439), (40.452124, -8.670376), (39.868393, -8.13151), (39.542903, -79.110698), (39.56774, -79.07259), (9.827775, -83.772117), (40.92575, -73.1287), (32.824166, 35.265833), (43.090061, 40.99939), (51.831972, -1.301472), (50.139115, 27.72024), (37.803475, -122.172142), (53.512749, -2.906903), (41.072965, -81.383771), (40.828575, -74.55648), (37.802716, -122.171584), (40.297395, -124.307587), (37.803486, -122.172119), (42.549011, -72.753627), (35.864211, -84.227578), (38.679683, -77.244325), (30.447603, -97.844772), (37.666922, -77.887517), (19.700626, -155.083343), (47.423519, -121.936136), (32.783242, -95.985978), (27.85551, -81.378173), (45.035933, -64.18058), (38.678366, -82.179823), (30.013715, -97.977662), (40.730527, -73.980094), (38.97985, -77.041003), (30.23281, -97.865898), (30.254888, -97.822503), (-37.873408, 145.400743), (35.351577, -119.12278), (33.272461, -96.297395), (-37.971432, 145.297902), (38.3073, -0.716122), (26.980875, -80.53183), (39.056293, -76.820708), (49.641992, -123.982953), (30.136133, -97.448644), (55.167165, 22.214165), (52.330123, 16.891673), (33.100381, -116.580462), (18.043225, -63.121304), (48.49433, -123.3339), (48.445806, -1.944475), (56.844683, 60.591878), (28.041564, -80.6428), (33.2849, -79.968422), (28.652331, -81.438546), (51.396849, -2.361344), (42.548865, -72.75525), (34.916032, -80.770704), (51.031392, -0.761194), (43.098675, 2.81239), (43.354813, 5.188146), (46.608692, 14.415928), (33.272465, -96.297399), (26.021157, -81.42204), (28.7072, -81.124694), (38.974028, -76.942383), (-35.706069, 150.217171), (38.884221, -7.01104), (55.165202, 22.487302), (38.973763, -1.860008), (29.738644, -95.417039), (45.032333, 35.379312), (-35.340508, 149.070725), (-34.071998, 22.010315), (29.634608, -82.367598), (28.492639, -80.723569), (39.258367, -75.455081), (57.21384, 41.933165), (39.770951, 19.912782), (44.4063, -68.591963), (26.34215, -81.745519), (38.434172, -122.691997), (38.478064, 28.185586), (27.99817, -80.757468), (26.465137, -81.77053), (22.683386, 113.843473), (-33.735127, 24.96194), (40.901928, -73.890198), (41.305015, 1.96808), (38.06309, -8.029575), (51.030119, -0.614831), (37.524511, -122.284558), (47.909628, 11.371043), (25.405211, -80.558772), (46.830612, 15.924575), (35.811185, -78.9293), (35.723861, -78.78375), (52.109065, 5.268968), (28.736411, -80.755428), (40.900325, -73.875633), (29.65532, -98.5195), (41.364053, 2.16735), (27.769672, -82.334192), (40.814112, -74.728797), (38.388887, -122.873657), (49.296634, -124.267916), (28.131268, -82.656705), (37.493828, -121.981777), (27.138845, -80.786955), (29.764122, -98.472512), (29.583264, -98.615989), (37.236272, -122.069314), (36.651221, -121.796073), (36.651196, -121.796077), (36.651278, -121.796143), (34.872249, 35.897924), (50.731017, -3.52774), (33.780151, -84.396919), (40.989394, -1.529711), (36.651245, -121.796081), (36.651237, -121.796015), (36.651273, -121.796023), (36.651229, -121.796062), (36.651276, -121.796071), (36.651264, -121.796038), (42.408442, -71.2172), (36.652557, -121.796983), (36.651273, -121.796033), (36.651553, -121.796142), (36.651254, -121.796049), (36.651263, -121.796054), (29.742097, -98.840758), (29.584244, -98.611208), (41.992804, -1.70653), (42.922894, -73.252697), (35.877456, -78.934511), (30.024178, -98.692938), (33.170033, -96.83058), (36.65122, -121.796049), (36.651204, -121.796053), (36.651235, -121.796043), (36.651334, -121.795958), (33.159022, -96.814792), (44.663586, 33.79827), (41.050246, -76.22664), (29.790804, -98.902716), (41.344361, -76.016381), (57.05056, -135.361577), (52.996009, -9.025331), (35.962263, -81.120367), (30.507585, -98.823466), (32.435108, -97.665499), (31.366287, -97.493095), (32.637367, -96.659263), (30.470714, -97.907419), (37.195428, -121.736105), (40.192503, -8.716856), (50.857092, 8.816164), (62.253567, 25.732722), (43.505877, -80.223452), (-38.045853, 146.438055), (38.939638, -122.891905), (32.635777, -96.922872), (-34.010319, 19.003586), (48.116468, -1.696621), (41.716029, 0.118297), (32.78092, -117.075033), (37.203625, -121.74762), (39.666097, -79.976332), (32.780328, -117.072817), (37.599631, -89.191444), (35.100533, -81.222213), (54.414462, 18.602945), (33.182063, -96.817742), (39.628242, -104.839149), (34.142083, -118.756203), (49.332263, -123.01994), (34.94848, -82.441837), (32.780178, -117.0746), (58.650755, 49.673686), (37.261803, -122.030333), (4.593781, 101.080551), (5.373784, 100.408293), (35.937687, -93.381608), (41.604704, -73.538306), (26.173382, -97.684343), (36.778778, -121.634109), (33.926874, -83.309349), (40.165172, -80.59335), (-36.146439, 174.559403), (-36.146931, 174.561539), (29.091356, -82.107896), (41.308687, -72.926978), (-36.147014, 174.561736), (50.105818, 19.950688), (52.679051, -1.185709), (-34.796, 173.107), (-34.796, 173.107), (-34.796, 173.107), (-34.796, 173.107), (-34.796, 173.107), (51.616657, 7.950153), (56.10103, 12.64165), (15.191, 106.18), (37.792747, -83.704462), (38.962325, -77.20137), (58.605102, 49.66599), (53.48558, -2.27122), (39.64806, -79.96969), (38.885639, -77.497208), (32.820353, -97.194745), (30.417647, -97.758805), (30.288583, -97.797967), (35.867107, -86.282676), (40.825092, -74.64405), (29.86016, -98.142027), (48.69208, -119.690978), (29.722127, -98.466296), (42.100019, -70.935064), (39.649677, -79.971242), (53.074751, -8.990518), (38.971438, -76.993164), (53.076549, -8.991389), (33.036303, -96.665723), (32.91734, -96.933923), (36.986232, -122.054778), (30.112944, -95.404508), (40.905468, -73.894393), (55.715703, 12.507505), (39.310752, -84.296339), (27.134664, -80.244003), (32.725833, 35.021028), (46.71033, 12.309068), (47.544209, 32.031428), (33.361542, -97.58691), (31.184955, 107.959519), (48.091397, 3.453783), (48.091489, 3.453663), (50.142369, -5.068442), (44.175614, -76.651618), (52.201204, 0.115997), (34.298938, -85.197862), (48.469914, 2.444153), (46.914993, 15.839452), (28.613745, -82.468821), (38.032947, -84.506037), (39.124192, -76.953533), (32.739945, -117.085333), (50.046795, 16.968709), (36.695303, -5.042692), (47.610931, 7.303334), (37.623078, -85.315133), (39.90022, -3.630187), (32.714419, -96.864472), (44.064789, 5.056386), (44.677781, 20.608484), (52.0013, 0.247575), (40.63499, -8.65665), (38.40214, -85.497882), (46.350631, 19.359011), (-62.194405, -58.995613), (46.636587, 0.394095), (30.332194, -97.659279), (30.382367, -97.784836), (31.011675, -97.531412)]"
31,Cyathea retanae,"[(8.041667, -77.224694), (8.041667, -77.224694), (8.041667, -77.224694), (8.158333, -77.25), (-17.6131, -149.5319), (-17.6131, -149.5319), (-17.5379, -149.5644), (-17.5379, -149.5644), (-17.5379, -149.5644)]"
