,scientific_name,locations
122,Roystonea oleracea,"[(-22.43864, -44.528158), (17.008041, -61.765196), (-23.008633, -44.355383), (-22.967753, -43.239862), (10.560592, -61.040724), (-22.984312, -43.554837), (-2.225788, -80.095988), (-2.181425, -80.018981), (9.824733, -69.139164), (9.853484, -69.178441), (9.955194, -69.210372), (-22.898378, -43.55313), (-22.89825, -43.219842), (-17.348589, -44.946809), (5.422724, -72.445537), (5.425232, -72.445784), (5.425232, -72.445784), (5.423536, -72.44673), (-21.23361, 55.42158), (5.422724, -72.445537), (5.425232, -72.445784), (5.425232, -72.445784), (5.422107, -72.445644), (5.426785, -72.445923), (-12.91917, 45.1487), (-12.91917, 45.1487), (16.25165, -61.59203), (16.20171, -61.66762), (15.9061, -61.29393), (4.519988, -72.705877), (4.476117, -72.736586), (18.47164, -66.303274), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (4.675611, -72.834718), (4.675611, -72.834718), (4.675611, -72.834718), (4.675611, -72.834718), (4.675611, -72.834718), (4.675474, -72.800101), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (4.499621, -72.737407), (5.828295, -55.150994), (-20.9648, 55.28943), (-3.067145, -59.850983), (-21.09184, 55.64931), (5.56241, -72.32838), (-23.534442, -46.634658), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (-21.04448, 55.32225), (16.35475, -61.73862), (-20.93302, 55.44699), (-20.93302, 55.44699), (16.19023, -61.59609), (10.366597, -75.438653), (10.366461, -75.438753), (10.422611, -61.461738), (13.193887, -59.543198), (10.757861, -61.434735), (-21.00954, 55.28819), (10.366597, -75.438653), (10.366461, -75.438753), (-23.152084, -44.228944), (15.359759, -61.369079), (5.504389, -72.404861), (-23.567713, -46.717747), (18.869394, -99.171055), (18.869394, -99.171055), (18.869394, -99.171055), (-20.92712, 55.31715), (-20.92712, 55.31715), (-20.92712, 55.31715), (-20.94406, 55.30457), (-20.94406, 55.30457), (18.869394, -99.171055), (-20.94406, 55.30457), (6.617313, 3.321283), (6.456328, 3.333439), (6.587439, 3.250322), (6.428694, 3.267989), (6.417197, 2.890983), (6.490026, 3.338216), (6.471221, 3.579354), (6.471221, 3.579354), (6.471221, 3.579354), (6.440475, 3.489425), (6.537147, 3.325555), (6.455021, 3.423972), (6.496705, 3.386846), (6.556383, 3.360451), (6.459128, 3.156086), (6.534969, 3.356223), (6.556418, 3.335511), (6.505946, 3.37045), (6.490026, 3.338216), (6.587439, 3.250322), (6.437654, 3.36735), (6.473331, 2.968837), (6.586137, 3.974226), (6.502804, 3.331049), (6.529536, 3.363529), (6.45, 3.433333), (6.458188, 3.422775), (6.453571, 3.421741), (6.496705, 3.386846), (6.511589, 3.774894), (6.511589, 3.774894), (6.623063, 3.344505), (6.430433, 3.423831), (6.428055, 3.421944), (6.505946, 3.37045), (-20.92712, 55.31715), (5.062515, -75.871112), (5.062515, -75.871112), (5.062515, -75.871112), (5.062515, -75.871112), (5.062515, -75.871112), (21.334722, -157.804722), (-20.99421, 55.39769), (-21.01744, 55.31614), (-21.01744, 55.31614), (-21.01744, 55.31614), (-23.177629, -44.12134), (-21.30627, 55.64198), (-21.04448, 55.32225), (-21.01646, 55.21995), (-21.38136, 55.60133), (-21.04448, 55.32225), (-22.286314, 166.448411), (-21.04448, 55.32225), (-21.04448, 55.32225), (4.376417, -73.216861), (-21.28838, 55.31307), (-21.24908, 55.36684), (-23.55, -46.716667), (-23.55, -46.716667), (15.96871, -61.29925), (18.08069, -63.04784), (8.37111, -59.7439), (-20.92712, 55.31715), (-20.94406, 55.30457), (8.37111, -59.7442), (8.37111, -59.7442), (8.37111, -59.7442), (8.37111, -59.7442), (8.657086, -83.179655), (9.116082, -79.69677), (4.695278, -72.185278), (16.2142, -61.4958), (-25.5105, -48.8082), (15.4, -61.43), (15.75, -87.5), (8.08, -61.83), (7.623056, -61.985)]"
123,Acineta antioquiae,"[(6.813333, -75.093889)]"
124,Anguloa cliftonii,"[(5.677229, -75.7097)]"
125,Anguloa dubia,"[(6.17924, -75.6133), (6.17924, -75.6133), (6.17924, -75.6133)]"
126,Comparettia ignea,"[(7.261282, -75.721251)]"
127,Coryanthes toulemondiana,[]
128,Coryanthes vieirae,[]
129,Coryanthes villegasiana,[]
130,Cyrtochilum betancurii,"[(6.508611, -76.233333), (6.508611, -76.233333)]"
131,Cyrtochilum corniculatum,[]
132,Dracula lemurella,"[(6.07692, -75.51395), (6.07692, -75.51395), (7.11082, -75.56355)]"
133,Elleanthus cinnabarinus,"[(5.732083, -75.245917), (6.235925, -75.503284), (6.28194, -75.69053)]"
134,Embreea rodigasiana,"[(-4.037085, -79.198675), (-3.7, -78.7), (6.256557, -75.609754), (3.91, -73.08), (3.91, -73.08)]"
135,Epidendrum uribei,"[(7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.12219, -75.67003), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078), (7.122754, -75.671078)]"
136,Epidendrum wolfii,"[(4.820659, -75.503095)]"
137,Houlletia conspersa,[]
138,Lepanthes cuatrecasasii,"[(5.192951, -75.314871), (5.063051, -75.28232), (3.817283, -75.716064), (4.833333, -75.516667)]"
139,Lycomormium schmidtii,"[(1.789494, -76.114111), (4.0919, -73.367)]"
140,Masdevallia apparitio,[]
141,Masdevallia niesseniae,[]
142,Odontoglossum povedanum,[]
143,Oncidium alvarezii,"[(4.78635, -73.781561)]"
144,Oncidium nevadense,"[(10.8357, -73.67046), (10.0, -74.5)]"
145,Oncidium povedanum,"[(5.951055, -73.59308), (4.740833, -74.083889)]"
146,Peristeria cochlearis,[]
147,Polycycnis lehmannii,"[(3.75, -76.5)]"
148,Polycycnis villegasiana,[]
149,Pterichis colombiana,"[(5.975278, -73.081111)]"
150,Restrepia aspasicensis,[]
151,Restrepia pandurata,[]
152,Stanhopea tolimensis,[]
153,Trevoria chloris,[]
154,Aechmea andaquiensis,"[(1.589167, -75.868611), (1.589167, -75.868611), (1.589167, -75.868611), (1.589167, -75.868611), (1.589167, -75.868611)]"
155,Aechmea anomala,"[(1.595833, -75.875)]"
156,Aechmea baudoensis,[]
157,Billbergia ambigua,"[(7.29714, -75.0713), (7.317351, -75.040733), (7.26941, -75.2065)]"
158,Bromelia fragilis,[]
159,Bromelia nidus-puellae,[]
160,Bromelia trianae,[]
161,Greigia nubigena,"[(4.3025, -75.606102), (3.980556, -76.665278), (-6.17, -78.75), (-6.17, -78.75)]"
162,Greigia ocellata,[]
163,Guzmania bakeri,"[(0.116248, -78.600134), (0.118513, -78.608829), (0.118406, -78.61208), (0.115462, -78.59387), (0.118406, -78.61208), (-0.285782, -78.675625), (0.118406, -78.61208), (-0.11842, -78.59747), (0.118406, -78.61208), (0.118406, -78.61208), (0.118406, -78.61208), (0.116248, -78.600134), (0.118406, -78.61208), (0.118406, -78.61208), (-0.27, -78.65), (-0.27, -78.65), (-0.27, -78.65), (0.06, -77.96), (0.06, -77.96), (0.117, -77.95), (0.12, -77.95), (0.12, -77.95), (-0.23, -78.67), (0.63, -77.58), (0.633333, -77.533333), (0.8, -77.97), (-0.23, -78.8), (-0.22, -78.8), (0.88, -78.0), (0.88, -78.0), (0.83, -78.05), (0.63, -77.72), (-0.35, -78.13), (-0.35, -78.13), (-0.35, -78.13), (0.7, -77.63), (0.683, -77.633), (0.68, -77.63), (-9.3, -75.98), (-0.15304, -78.7811), (3.90111, -73.07333), (0.589444, -77.705278)]"
164,Mezobromelia bicolor,[]
165,Pitcairnia altoatratoensis,"[(1.299103, -78.084362), (5.745991, -76.288334), (5.745991, -76.288334)]"
166,Pitcairnia arenicola,[]
167,Pitcairnia barrigae,"[(0.077837, -79.05037), (0.077898, -79.041374), (0.111502, -79.103219), (0.112462, -79.101935), (0.053106, -78.842278), (0.35, -79.7), (0.96, -78.56), (0.96, -78.56), (0.96, -78.56), (-4.2, -78.6833), (0.88, -78.5), (0.88, -78.5), (0.96, -78.56), (0.35, -79.73), (0.35, -79.73), (0.9, -78.43), (0.75, -78.78), (0.75, -78.78), (0.93, -78.6), (0.92, -78.58), (0.9, -78.5), (1.07, -78.03), (0.35, -79.73), (0.35, -79.73), (5.745556, -76.293611), (0.93, -78.18), (5.746594, -76.289927)]"
168,Pitcairnia delicata,[]
169,Pitcairnia foreroi,"[(6.75, -76.33), (4.89, -76.28)]"
170,Pitcairnia fosteriana,[]
171,Pitcairnia grubbiana,"[(6.77463, -72.0989)]"
172,Pitcairnia jaramilloi,"[(4.880556, -76.228056), (4.880556, -76.228056), (4.88056, -76.2281), (4.88056, -76.2281)]"
173,Pitcairnia johannis,"[(6.5983, -75.1617), (6.5983, -75.1617), (6.52, -75.23), (7.08, -73.5), (7.0833, -73.5), (7.0833, -73.5)]"
174,Pitcairnia lindae,[]
175,Pitcairnia macrobotrys,[]
176,Pitcairnia occidentalis,"[(6.010853, -74.937644), (5.96666, -74.83333), (5.96666, -74.83333), (5.966667, -74.833333), (7.29955, -75.0618), (7.32, -75.05), (7.316667, -75.05), (7.32, -75.05), (7.316667, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (7.31666, -75.05), (4.87944, -76.2336), (4.879444, -76.233611), (7.3, -75.06666), (7.3, -75.06666), (7.31708, -75.0641), (7.3167, -75.0564), (7.31708, -75.06409), (7.316667, -75.056389), (7.316667, -75.05)]"
177,Pitcairnia ramosii,"[(4.7885, -76.48709), (4.7885, -76.48709), (4.77, -76.51)]"
178,Pitcairnia woronowii,[]
179,Puya aristeguietae,"[(9.253891, -70.189471), (9.25389, -70.1895), (9.25389, -70.1895), (9.20611, -70.1936), (9.20611, -70.1936), (9.25389, -70.1895), (9.2, -70.18), (9.1706, -70.1875), (9.1706, -70.1875), (9.1706, -70.1875), (9.23, -70.18), (9.23, -70.18), (8.8333, -70.6667), (8.8333, -70.6667), (8.8333, -70.6667), (8.83, -70.67), (8.83, -70.67), (7.97, -71.98), (7.97, -71.98), (9.67, -70.08), (9.5, -73.1), (6.3895, -72.3585), (6.3895, -72.3585), (6.329109, -72.287559), (9.2533, -70.2497), (9.2533, -70.2497), (8.52, -71.35), (8.52, -71.35), (7.0758, -65.9119)]"
180,Puya boyacana,"[(5.60284, -73.469616), (5.894632, -73.058242), (5.804336, -73.068108), (5.952825, -73.09365), (5.912821, -73.119569), (3.953779, -74.145793)]"
181,Puya cleefii,"[(6.39266, -72.3484), (6.417715, -72.339608), (6.4132, -72.3336), (6.416667, -72.3)]"
182,Puya dichroa,[]
183,Puya furfuracea,"[(1.974167, -76.577778), (1.974167, -76.577778), (1.974167, -76.577778), (1.974167, -76.577778), (2.5, -76.8333)]"
184,Puya grantii,"[(10.372722, -72.921806), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288667, -72.928972), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288694, -72.929111), (10.288722, -72.929194), (10.288722, -72.929194), (10.288722, -72.929194), (10.288722, -72.929194), (10.288722, -72.929194), (10.288722, -72.929194), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.930361), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291361, -72.93025), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.291333, -72.930139), (10.29075, -72.939194)]"
185,Puya santanderensis,"[(4.678701, -73.788815)]"
186,Ronnbergia subpetiolata,[]
187,Ronnbergia viridispica,"[(6.933889, -75.008889), (6.933889, -75.008889), (6.9, -75.066667)]"
188,Steyerbromelia naquenensis,"[(2.1, -68.183333), (2.1, -68.183333), (2.1, -68.183333)]"
189,Tillandsia acuminata,"[(-5.27, -78.72), (-15.72, -67.15), (-15.72, -67.15)]"
190,Tillandsia brevior,[]
191,Tillandsia chartacea,"[(5.634802, -73.453101), (5.604083, -73.867417), (5.1, -73.8), (5.1, -73.8), (5.117333, -73.775222), (5.117333, -73.775222), (5.116667, -73.77522)]"
192,Tillandsia cuatrecasasii,[]
193,Tillandsia engleriana,"[(-16.34, -67.5), (-16.344619, -67.499625), (-3.97944, -79.07399), (-3.97944, -79.07399), (-13.4, -72.87), (-13.4, -72.87), (1.183333, -78.0), (1.183333, -78.0), (-14.5, -68.23), (-14.5, -68.23), (-14.5, -68.23), (-17.8, -64.25), (-17.72, -64.22), (-17.72, -64.22), (3.90111, -73.07333)]"
194,Tillandsia excavata,[]
195,Tillandsia fusiformis,"[(-3.66444, -79.25472), (-3.67972, -79.23777)]"
196,Tillandsia rariflora,[]
197,Tillandsia schimperiana,"[(4.876947, -74.37577), (4.873083, -74.374503), (4.87302, -74.37445), (5.159986, -73.310723), (-0.174014, -77.683263), (5.570762, -75.755638), (1.076668, -76.761873), (1.663419, -76.221088), (-0.667576, -77.793059), (-1.402338, -78.286933), (-0.10302, -77.585549), (-1.175791, -77.959066), (-4.61, -78.8), (-0.65, -77.79), (6.7025, -75.49722)]"
198,Vriesea hodgei,[]
199,Werauhia verrucosa,[]
200,Aniba novo-granatensis,[]
